room_type,price,minimum_stay_length,number_of_reviews,num_of_properties,availability_days,region_North Region,region_Central Region,region_East Region,region_West Region,region_North-East Region,neighbourhood_Woodlands,neighbourhood_Bukit Timah,neighbourhood_Tampines,neighbourhood_Bedok,neighbourhood_Bukit Merah,neighbourhood_Newton,neighbourhood_Geylang,neighbourhood_River Valley,neighbourhood_Jurong West,neighbourhood_Rochor,neighbourhood_Queenstown,neighbourhood_Serangoon,neighbourhood_Marine Parade,neighbourhood_Pasir Ris,neighbourhood_Toa Payoh,neighbourhood_Outram,neighbourhood_Punggol,neighbourhood_Tanglin,neighbourhood_Hougang,neighbourhood_Kallang,neighbourhood_Novena,neighbourhood_Downtown Core,neighbourhood_Bukit Panjang,neighbourhood_Singapore River,neighbourhood_Orchard,neighbourhood_Ang Mo Kio,neighbourhood_Bukit Batok,neighbourhood_Museum,neighbourhood_Sembawang,neighbourhood_Choa Chu Kang,neighbourhood_Central Water Catchment,neighbourhood_Sengkang,neighbourhood_Clementi,neighbourhood_Jurong East,neighbourhood_Bishan,neighbourhood_Yishun,neighbourhood_Mandai,neighbourhood_Southern Islands,neighbourhood_Sungei Kadut,neighbourhood_Western Water Catchment,neighbourhood_Marina South,neighbourhood_Lim Chu Kang
1,104,1.2185250301076227,2.167670008912921,0.6549027183828234,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,1.7891179324012958,1.5451021329279173,3.2801357207887816,359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,1.2185250301076227,1.9238926246310992,0.6549027183828234,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,2.2497147382043146,-0.0,0.6549027183828234,365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,131,1.6970733584990576,-0.0,0.6549027183828234,365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,300,0.6127334002122654,1.593937096110502,2.747822763572351,349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,2.33724196639859,-0.0,0.6549027183828234,365,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,67,2.215335264166108,1.1041329406017635,3.2801357207887816,356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,165,0.6127334002122654,1.989038064929517,1.5507311441483884,223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,217,0.0,-0.0,0.6549027183828234,365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
